start	end	text
0	2000	Stavljava
4000	6000	jeste EUR
6000	8000	ja sam EUR stavljao
8000	10000	EUR?
10000	13000	dobro ok, sve jedno da li su EUR ili DOLAR
13000	15000	to 17 pa to je
15000	19000	a ti si stavio kurst DOLAR, fiksan kurst EUR
21000	23000	čini mi se da da
25000	27000	čekaj
27000	33000	onda to može da bude, čekaj ko je 690
33000	38000	je samo koliko tebe je, 47
38000	40000	47
40000	45000	izviješ te, prehidam, može da se promeni u poruđbenici, odnosi se unese
45000	48000	šta se unese?
48000	51000	u poruđbenici, kurs
51000	55000	ali ti u poruđbenici kada unosiš kurs
55000	60000	Ti u tom trenutku ne znaš koliko ćeš platiti, ali ti kad poručuješ obo ne platiš šta, nego plaćaš...
60000	64460	da, nešta možeš ovde, vrednost fakture
64460	68120	možeš unese vrednost fakture
68120	72320	tipa, staviš ovako, nešta možeš
72320	74760	ne, možeš najbolj, najlakši ovako, vrednost fakture
74760	77720	pa da se zabere koja je
77720	81660	valuta i da se stavi srednji kurs
81660	83160	dobro
83160	85180	reći moži
85180	87180	Može, može.
88240	88420	To.
89180	90960	Tarina uvek ide u dinarima,
91360	92100	transport,
92100	94980	transport može da ide u dinarima.
97400	97660	Novo,
97780	98200	to je to.
99600	100000	I sad,
101340	103140	sad sam odim,
103260	104180	i onda ćeš imati,
104560	105640	imat ćeš
105640	109000	vrednost dolara,
109660	111540	kurz dolara, koji množiš,
111540	113160	onda ovde bi možda mogo dole
113160	143160	Zvučaš koja je nabavna cena za tu poružbenicu, tipa ova šifra, 110,1,7,4, nabavna cena je 16,9 dobra, a ko je vrednost faktura 1,8,2,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
143160	145000	Ne, to da už.
151940	153640	Ne, o sami su dvešče.
167320	168940	Si, ja ba se to na supros.
173160	203140	Hvala vam.
203160	216160	Bilo 6,9 puta 6,9 puta 600 komada, pa dobro računa ovo obrat.
221160	225160	Dobro računa, ne znam kako si ti to, ali to je to.
226160	231160	Pa ajde raditi kako si rekao sad, da ti bude lakše, mislim, preglednije.
231160	261160	Pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa
261160	270940	4 puta 5,7 puta 6,3,4,7,8
270940	274240	a jeba mater brate, to je isto
274240	283540	vidim, meni nije problem to da napravim, kao što ti sad rekao
283540	291020	pa nam mislim, tako je po knjižki, kako treba se računa kog se
291160	293160	važni biti tako onda
293160	297160	dobro, e sad, onda stvarna carina
297160	298160	dobro
298160	300160	ovde ne znam kako
