start	end	text
0	5460	To računam, ovaj, on vroto ga...
5460	6180	Evo se kum.
8180	15880	Sarinu Samune, ovo Sarina 215, da on ga računam, dobro.
30000	46640	Stvarno.
60000	62000	Hvala.
90000	101560	vrednost robne stavke
101560	104240	množi sa carinskom stopom
104240	106680	sa carinskom stopom
106680	107180	da
107180	109020	dobro
109020	112060	a ima neku proveru da ta cifra
112060	113520	bude u ovu tipa
113520	114840	ude goza sa u 215
114840	118680	a šta si rekao, zabagalo na sekundu
118680	119600	provera
120000	131000	Znaš šta možete desi? Da ja unesem carinu za jedan artikl da je 17%, a carina je od carinu na 8%.
131000	132000	Aha.
132000	139000	I sad, onda unesem vrednu carinu ovde, sad je gore, vidiš 211 505.
139000	141000	Jasno, jasno.
141000	147000	A sad na ovom artiklu je 37 000, a trebala da bude, ne znam, 50 000, nebitno.
147000	148000	Jasno.
148000	174240	E sad, šta sam ja pravio u Excelu, da bi se to ne mjeseo, prvi artikali ima carinu 18%, drugi su 8%, ti prema izračunaš carinu koliko treba da bude prema tome, kolika je suma te carine, uporadiš sa ovom carinom kojo je carina naplatila i proporcionalno onda ovu carinom kojo je carina naplatila rasporediš po stavkama.
174240	187460	transport po zapremini je onda već i računa po zapremini
187460	192080	transport po zapremini to ok
192080	195720	i ovi ostali vezani trosku isto treba da idu po zapremini
195720	197360	dobro
197360	202300	to možda nisam promenio da je ostave droškove
202300	206300	Da su oni mnogo sitni, ne moraš da se bakiči oko toga.
206300	210300	U raziči, ne veze, nije ova igra, da radim, radim kako volja.
210300	214300	I to je to onda.
214300	220300	Dobro, menjam to pa te zovem, tim promenim.
220300	230300	Ako ti ti tič artikala, vidi, ti si meni još, ima tome jebiga, možda dve nelje, tri, tako nešto.
230300	239380	Rekao, pošto za sad nemamo toliko proizvoda, da recimo, da kada, ne znam, imamo, ne znam, onu džezvu.
240340	240680	Dobre.
240680	245160	To pojavljuje kao dva proizvoda, ali opet da unutar tih proizvoda mogu ljudi da menjaju.
245840	247000	Da, da, da, tako je.
247440	256360	Možda ti za to malo komplikovano, ono, kad nosiš artikle i porodice, postao si u grupu sliku, onu sinoći.
256640	257040	Da, da.
257040	258620	A šta si štio?
259720	260520	Veze nas...
260520	262820	Cekaj, sad da vidim šta sam poslao.
263900	264760	Zadnju ovu.
270660	271500	E to gore.
273720	274460	Još gore.
275060	277000	Ne, ne, čekaj, sad ću da je to gore na tušku.
277780	278480	Ajde, sajte.
287040	295960	Aha, a ovo sam te pitao zato što si promenio izgled ovoga pa ne znam šta radi
295960	299260	Aha, aha, aha
299260	299600	Da
