start	end	text
0	7000	Kako sad to radi i da ti kaže kako bi trebalo, ja ću ti ispisati, u stvari upali ste imanje naravno
7000	8000	Ipario sam, za svakšen slučaj
8000	12000	Pokušat ću da ispišem što bolje
16000	18000	Ovo je sad, vidiš, ne znam, prijemno...
18000	20000	Da, vidim, vidim, sad je okej
20000	23000	Dobra, sad ovde imamo blablabla
23000	49600	Sad vidi, ove vrednosti što se unose ovde, one su kako da kažem konačne i najjedine tačne vrednosti. Ono što se unose u prijemnici su neke projekcije što ne znamo koliko će biti tačan kurs dolara, pa ima neke dotnih troškova, ovi na carini mogu da nam prihvate cene pa da lupe veću carinu, neke stavi i manju, ima svega i svačega.
49600	52680	ali uglavnom ono što se upiš ovde u prijemnici
52680	57000	to su cifre koje su za knjigovodstvo
57000	59480	razumeš, to je jedino tačno
59480	62840	to je jedna stvar
62840	65480	druga stvar, vidim sad da ovde si stavio raspod
65480	67220	da locik freze prema vrednosti robe
67220	71960	da li može sve da ide prema zapremini?
73140	73500	može
73500	77440	sve da ide prema zapremini i ako slučajno nema neka zapremina
77440	78420	onda ga blokiraj
78420	85420	Ali smo već stavili da je kod artikala obavezno da se unese ili pun kontejnjer ili ove kakve
85420	89420	I prioritet i ono pun kontejnjer
89420	99420	Tako da, onda sad kad dođeš ovde dole imaš, ali sad si to ukinuo, e da ovo koks korekcija
99420	105420	Ne znam šta ti je to koks korekcija, to ti je vratna korekcija u odnosu na nabavnu poručbenicu
105420	108040	Čekaj da vidim samo sekund.
135420	162700	A to je razlika između ovog procenjenog troška i stvarnog troška?
162700	164020	Epa to.
165300	166540	Možemo da promenimo.
166540	168700	Možemo da promenimo, ako hoćeš.
169240	171160	To i da vidim koliko smo omašili,
171620	174720	jer to u projekcijama treba da budu što manje greške.
174820	177280	Ti pa 13 hiljina, da to je uparkli toko greške.
177660	179440	Nego je bitno samo ovde dole,
179820	183060	da se računa koliko spor tiku,
183800	187000	da se, kako se zove, računa,
187300	188940	da nema ti korekcije,
189020	191020	nego se uzimaju ove cifre ovde,
191020	193280	koje su unete u uzlavlju prijemnice
193280	194200	jasno
194200	195640	nemaš da umeš
195640	197180	jasno, jasno, jasno
197180	199840	kažem ti, ovo kokos reakcija mi je super da imam kao informaciju
199840	201280	ali ovo da dole
201280	202360	da nema nikak
202360	204900	tako je, da
204900	207340	dobro, važi, važi
207340	208360	nije, nije, nije, nije reda
208360	210500	ne, sad, samo tu vrednost, robe
210500	213440	znaš šta bi tu trebalo
213440	214180	se začunao sad
214180	217360	kako sam ja računao kad sam imao to u Excelu
217360	219620	ti sad imaš
219620	225260	ove šifre, imaš nabavnu cenu, imaš ukupnu vrednost robe.
227560	234460	Ti treba tu ukupnu vrednost robe da prema nabavnjima, da se račumaš u stvari srednji kulus dolara.
235100	238220	Znaš šta sam ja račuma? Na primjer, vrednost fakture, URSA-D.
238940	246280	Je ovo, osamljena, da staviš koliko je vrednost fakture ispod u dolarima i koji je srednji kulus dolara.
246280	248720	i onda nosi u tog srednjeg kursa dolara
248720	250880	da množiš nabavnu cenu za tu
250880	253020	poručbenicu pa da dobiš
253020	254400	jednu srobe. Ne znam kako sad radiš
254400	255600	možda radiš i tako ali
255600	258900	Evo, da se prati kada ću se da proverim i to
258900	262980	jer to sam radio
262980	265160	kazem ti
265160	266840	pre neki dana
266840	296820	Tome to.
296840	299460	Eur, ja sam tu, euročni misa.
